cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
17,Morelos,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2020,94,Víctimas
17,Morelos,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2021,112,Víctimas
17,Morelos,0,Estatal,6200009438,Víctimas muertas en los accidentes de tránsito,2022,118,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,1997,733,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,1998,675,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,1999,603,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2000,718,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2001,834,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2002,777,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2003,829,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2004,1364,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2005,1420,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2006,2340,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2007,2713,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2008,2450,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2009,2347,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2010,2403,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2011,2060,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2012,2057,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2013,2246,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2014,2193,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2015,2151,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2016,2220,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2017,2537,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2018,2600,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2019,3103,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2020,2558,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2021,2461,Víctimas
17,Morelos,0,Estatal,6200009439,Víctimas heridas en los accidentes de tránsito,2022,3073,Víctimas
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1997,0,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1998,0,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1999,0,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2000,0,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2001,2,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2002,1,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2003,0,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2004,3,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2005,0,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2006,5,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2007,5,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2008,12,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2009,5,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2010,8,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2011,3,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2013,36,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2014,62,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2015,26,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2016,52,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2017,41,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2018,50,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2019,84,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2020,68,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2021,69,Accidentes
17,Morelos,001,Amacuzac,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2022,114,Accidentes
17,Morelos,001,Amacuzac,6200009438,Víctimas muertas en los accidentes de tránsito,2001,0,Víctimas
17,Morelos,001,Amacuzac,6200009438,Víctimas muertas en los accidentes de tránsito,2002,0,Víctimas
17,Morelos,001,Amacuzac,6200009438,Víctimas muertas en los accidentes de tránsito,2004,0,Víctimas
17,Morelos,001,Amacuzac,6200009438,Víctimas muertas en los accidentes de tránsito,2006,0,Víctimas
17,Morelos,001,Amacuzac,6200009438,Víctimas muertas en los accidentes de tránsito,2007,0,Víctimas
17,Morelos,001,Amacuzac,6200009438,Víctimas muertas en los accidentes de tránsito,2008,0,Víctimas
17,Morelos,001,Amacuzac,6200009438,Víctimas muertas en los accidentes de tránsito,2009,0,Víctimas
17,Morelos,001,Amacuzac,6200009438,Víctimas muertas en los accidentes de tránsito,2010,1,Víctimas
17,Morelos,001,Amacuzac,6200009438,Víctimas muertas en los accidentes de tránsito,2011,2,Víctimas
17,Morelos,001,Amacuzac,6200009438,Víctimas muertas en los accidentes de tránsito,2014,1,Víctimas
17,Morelos,001,Amacuzac,6200009438,Víctimas muertas en los accidentes de tránsito,2015,2,Víctimas
17,Morelos,001,Amacuzac,6200009438,Víctimas muertas en los accidentes de tránsito,2016,6,Víctimas
17,Morelos,001,Amacuzac,6200009438,Víctimas muertas en los accidentes de tránsito,2017,1,Víctimas
17,Morelos,001,Amacuzac,6200009438,Víctimas muertas en los accidentes de tránsito,2018,2,Víctimas
17,Morelos,001,Amacuzac,6200009438,Víctimas muertas en los accidentes de tránsito,2019,1,Víctimas
17,Morelos,001,Amacuzac,6200009438,Víctimas muertas en los accidentes de tránsito,2020,1,Víctimas
17,Morelos,001,Amacuzac,6200009438,Víctimas muertas en los accidentes de tránsito,2022,3,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2001,1,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2002,0,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2004,0,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2006,4,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2007,1,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2008,6,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2009,2,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2010,5,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2011,0,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2013,16,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2014,23,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2015,11,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2016,27,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2017,24,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2018,29,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2019,46,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2020,22,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2021,5,Víctimas
17,Morelos,001,Amacuzac,6200009439,Víctimas heridas en los accidentes de tránsito,2022,66,Víctimas
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1997,1,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1998,1,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1999,0,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2000,4,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2001,17,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2002,15,Accidentes
17,Morelos,002,Atlatlahucan,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,2003,0,Accidentes
